id,beacon1,beacon2,beacon3,location
245,-999,-999,-999,3
246,-999,-999,-48,3
247,-999,-90,-45,3
248,-999,-95,-44,3
249,-999,-999,-48,3
250,-999,-96,-44,3
251,-999,-102,-47,3
252,-999,-90,-45,3
253,-999,-95,-44,3
254,-999,-89,-45,3
255,-999,-90,-45,3
256,-999,-999,-999,3
257,-999,-90,-48,3
258,-999,-90,-45,3
259,-999,-999,-47,3
260,-999,-999,-48,3
261,-999,-90,-46,3
262,-999,-97,-44,3
263,-999,-96,-44,3
264,-999,-999,-47,3
265,-999,-97,-44,3
266,-999,-999,-47,3
267,-999,-90,-45,3
268,-999,-96,-44,3
269,-999,-999,-999,3
270,-999,-91,-45,3
271,-999,-96,-45,3
272,-999,-999,-47,3
273,-999,-90,-45,3
274,-999,-999,-999,3
275,-999,-999,-999,3
276,-999,-999,-47,3
277,-999,-89,-47,3
278,-999,-97,-44,3
279,-999,-97,-49,3
280,-999,-97,-47,3
281,-999,-90,-46,3
282,-999,-90,-48,3
283,-999,-97,-45,3
284,-999,-101,-46,3
285,-999,-96,-45,3
286,-999,-999,-47,3
287,-999,-89,-45,3
288,-999,-95,-44,3
289,-999,-999,-47,3
290,-999,-999,-49,3
291,-999,-999,-999,3
292,-999,-999,-999,3
293,-999,-97,-47,3
294,-999,-999,-46,3
295,-999,-90,-46,3
296,-999,-96,-50,3
297,-999,-999,-999,3
298,-999,-90,-45,3
299,-999,-97,-44,3
300,-999,-999,-48,3
301,-999,-90,-45,3
302,-999,-999,-999,3
303,-999,-999,-999,3
304,-999,-999,-47,3
305,-999,-999,-999,3
306,-999,-89,-45,3
307,-999,-97,-45,3
308,-999,-999,-999,3
309,-999,-999,-48,3
310,-999,-999,-999,3
311,-999,-96,-44,3
312,-999,-999,-47,3
313,-999,-90,-45,3
314,-999,-97,-45,3
315,-999,-999,-999,3
316,-999,-89,-45,3
317,-999,-95,-44,3
318,-999,-999,-47,3
319,-999,-90,-45,3
320,-999,-999,-999,3
321,-999,-999,-47,3
322,-999,-90,-45,3
323,-999,-999,-46,3
324,-999,-999,-999,3
325,-999,-97,-44,3
326,-999,-90,-48,3
327,-999,-91,-45,3
328,-999,-999,-999,3
329,-999,-90,-44,3
330,-999,-97,-44,3
331,-999,-999,-47,3
332,-999,-90,-45,3
333,-999,-98,-44,3
334,-999,-89,-45,3
335,-999,-89,-45,3
336,-999,-999,-44,3
337,-999,-89,-45,3
338,-999,-999,-999,3
339,-999,-90,-49,3
340,-999,-90,-51,3
341,-999,-999,-46,3
342,-999,-999,-999,3
343,-999,-95,-44,3
344,-999,-999,-47,3
345,-999,-90,-46,3
346,-999,-95,-44,3
347,-999,-999,-999,3
348,-999,-91,-45,3
349,-999,-98,-44,3
350,-999,-90,-48,3
351,-999,-999,-999,3
352,-999,-999,-47,3
353,-999,-90,-45,3
354,-999,-97,-44,3
355,-999,-999,-999,3
356,-999,-98,-44,3
357,-999,-999,-47,3
358,-999,-89,-45,3
359,-999,-96,-44,3
360,-999,-999,-999,3
361,-999,-89,-45,3
362,-999,-999,-999,3
363,-999,-98,-44,3
364,-999,-90,-48,3
365,-999,-90,-46,3
366,-999,-999,-47,3
367,-999,-89,-45,3
368,-999,-94,-44,3
369,-999,-96,-44,3
370,-999,-999,-999,3
371,-999,-999,-999,3
372,-999,-96,-44,3
373,-999,-89,-48,3
374,-999,-89,-45,3
375,-999,-97,-45,3
376,-999,-999,-999,3
377,-999,-90,-46,3
378,-999,-96,-44,3
379,-999,-999,-46,3
380,-999,-90,-47,3
381,-999,-90,-45,3
382,-999,-999,-46,3
383,-999,-89,-45,3
384,-999,-98,-44,3
385,-999,-999,-46,3
386,-999,-999,-999,3
387,-999,-999,-999,3
388,-999,-97,-44,3
389,-999,-999,-47,3
390,-999,-90,-45,3
391,-999,-91,-45,3
392,-999,-96,-44,3
393,-999,-999,-999,3
394,-999,-90,-45,3
395,-999,-999,-45,3
396,-999,-94,-45,3
397,-999,-999,-47,3
398,-999,-90,-45,3
399,-999,-90,-45,3
400,-999,-999,-999,3
401,-999,-999,-47,3
402,-999,-999,-49,3
403,-999,-89,-45,3
404,-999,-96,-44,3
405,-999,-999,-46,3
406,-999,-999,-999,3
407,-999,-94,-45,3
408,-999,-999,-48,3
409,-999,-999,-47,3
410,-999,-89,-45,3
411,-999,-98,-44,3
412,-999,-999,-999,3
413,-999,-90,-45,3
414,-999,-96,-44,3
415,-999,-96,-44,3
416,-999,-90,-45,3
417,-999,-999,-999,3
418,-999,-999,-47,3
419,-999,-90,-45,3
420,-999,-89,-45,3
421,-999,-999,-999,3
422,-999,-97,-44,3
423,-999,-999,-48,3
424,-999,-999,-48,3
425,-999,-999,-999,3
426,-999,-96,-44,3
427,-999,-999,-47,3
428,-999,-90,-46,3
429,-999,-99,-44,3
430,-999,-999,-999,3
431,-999,-90,-45,3
432,-999,-96,-44,3
433,-999,-90,-45,3
434,-999,-94,-45,3
435,-999,-90,-46,3
436,-999,-999,-999,3
437,-999,-96,-44,3
438,-999,-999,-47,3
439,-999,-999,-999,3
440,-999,-95,-44,3
441,-999,-92,-47,3
442,-999,-96,-44,3
443,-999,-999,-999,3
444,-999,-90,-45,3
445,-999,-95,-42,3
446,-999,-999,-47,3
447,-999,-90,-45,3
448,-999,-89,-45,3
449,-999,-89,-45,3
450,-999,-94,-44,3
451,-999,-90,-45,3
452,-999,-91,-45,3
453,-999,-999,-999,3
454,-999,-95,-44,3
455,-999,-90,-45,3
456,-999,-91,-46,3
457,-999,-999,-999,3
458,-999,-91,-45,3
459,-999,-999,-46,3
460,-999,-90,-45,3
461,-999,-101,-47,3
462,-999,-90,-45,3
463,-999,-91,-45,3
464,-999,-999,-47,3
465,-999,-97,-44,3
466,-999,-999,-47,3
467,-999,-90,-45,3
468,-999,-96,-44,3
469,-999,-999,-999,3
470,-999,-89,-45,3
471,-999,-95,-46,3
472,-999,-90,-49,3
